0.7, 0.7, 3.0, 1.0, 0.01, 0.9, 872
0.7, 0.7, 3.0, 1.0, 0.2, 1.5, 871
0.7, 0.7, 3.0, 1.0, 0.2, 3.0, 871
0.9, 0.7, 0.1, 1.0, 0.01, 1.2, 870
0.7, 0.7, 3.0, 1.0, 0.01, 1.5, 870
0.7, 0.7, 3.0, 1.0, 0.1, 0.9, 870
0.7, 0.7, 3.0, 1.0, 0.1, 1.2, 870
0.7, 0.7, 3.0, 1.0, 0.2, 1.2, 870
0.9, 0.7, 3.0, 1.0, 0.01, 0.9, 870
0.7, 0.7, 3.0, 1.5, 0.01, 0.9, 870
0.7, 0.7, 3.0, 1.5, 0.01, 1.2, 870
0.7, 0.7, 5.0, 1.0, 0.01, 1.2, 870
0.7, 0.7, 5.0, 1.0, 0.1, 1.5, 870
0.7, 0.999, 5.0, 1.0, 0.1, 0.9, 870
0.7, 0.999, 5.0, 1.0, 0.2, 0.9, 870
0.7, 0.7, 3.0, 1.0, 0.1, 1.5, 869
0.7, 0.7, 3.0, 1.0, 0.1, 3.0, 869
0.9, 0.999, 3.0, 1.0, 0.1, 3.0, 869
0.7, 0.7, 5.0, 1.0, 0.01, 1.5, 869
0.7, 0.7, 5.0, 1.0, 0.01, 3.0, 869
0.7, 0.7, 5.0, 1.0, 0.1, 0.9, 869
0.7, 0.7, 5.0, 1.0, 0.1, 1.2, 869
0.7, 0.7, 5.0, 1.0, 0.2, 3.0, 869
0.7, 0.999, 5.0, 1.0, 0.01, 0.9, 869
0.7, 0.999, 5.0, 1.0, 0.1, 3.0, 869
0.7, 0.7, 5.0, 1.5, 0.01, 0.9, 869
0.7, 0.7, 5.0, 1.5, 0.01, 1.2, 869
0.9, 0.7, 0.1, 1.0, 0.01, 1.5, 868
0.9, 0.7, 0.1, 1.0, 0.01, 3.0, 868
0.7, 0.7, 3.0, 1.0, 0.01, 1.2, 868
0.7, 0.7, 3.0, 1.0, 0.2, 0.9, 868
0.7, 0.999, 3.0, 1.0, 0.1, 0.9, 868
0.7, 0.999, 3.0, 1.0, 0.2, 3.0, 868
0.9, 0.7, 3.0, 1.0, 0.01, 1.5, 868
0.7, 0.7, 3.0, 1.5, 0.1, 0.9, 868
0.7, 0.7, 3.0, 1.5, 0.1, 3.0, 868
0.7, 0.7, 3.0, 1.5, 0.2, 1.2, 868
0.9, 0.999, 3.0, 1.5, 0.01, 0.9, 868
0.7, 0.7, 5.0, 1.0, 0.01, 0.9, 868
0.7, 0.7, 5.0, 1.0, 0.2, 1.5, 868
0.7, 0.999, 5.0, 1.0, 0.01, 1.2, 868
0.7, 0.999, 5.0, 1.0, 0.1, 1.2, 868
0.9, 0.7, 5.0, 1.0, 0.01, 1.5, 868
0.9, 0.999, 5.0, 1.0, 0.1, 0.9, 868
0.7, 0.7, 5.0, 1.5, 0.1, 1.2, 868
0.7, 0.7, 5.0, 1.5, 0.2, 1.2, 868
0.7, 0.999, 5.0, 1.5, 0.01, 3.0, 868
0.9, 0.7, 5.0, 1.5, 0.01, 1.5, 868
0.7, 0.7, 3.0, 1.0, 0.01, 3.0, 867
0.7, 0.999, 3.0, 1.0, 0.01, 3.0, 867
0.7, 0.999, 3.0, 1.0, 0.1, 1.2, 867
0.7, 0.999, 3.0, 1.0, 0.1, 3.0, 867
0.7, 0.999, 3.0, 1.0, 0.2, 1.2, 867
0.7, 0.999, 3.0, 1.0, 0.2, 1.5, 867
0.9, 0.999, 3.0, 1.0, 0.01, 0.9, 867
0.9, 0.999, 3.0, 1.0, 0.01, 1.5, 867
0.9, 0.999, 3.0, 1.0, 0.01, 3.0, 867
0.7, 0.7, 3.0, 1.5, 0.01, 1.5, 867
0.7, 0.7, 3.0, 1.5, 0.1, 1.2, 867
0.7, 0.7, 3.0, 1.5, 0.1, 1.5, 867
